sic4,description,activity
111,"Growing of cereals (except rice), leguminous crops and oil seeds",Growing of
112,Growing of rice,Growing of
113,"Growing of vegetables and melons, roots and tubers",Growing of
114,Growing of sugar cane,Growing of
115,Growing of tobacco,Growing of
116,Growing of fibre crops,Growing of
119,Growing of other non-perennial crops,Growing of
121,Growing of grapes,Growing of
122,Growing of tropical and subtropical fruits,Growing of
123,Growing of citrus fruits,Growing of
124,Growing of pome fruits and stone fruits,Growing of
125,Growing of other tree and bush fruits and nuts,Growing of
126,Growing of oleaginous fruits,Growing of
127,Growing of beverage crops,Growing of
128,"Growing of spices, aromatic, drug and pharmaceutical crops",Growing of
129,Growing of other perennial crops,Growing of
130,Plant propagation,Activities
141,Raising of dairy cattle,Raising of
142,Raising of other cattle and buffaloes,Raising of
143,Raising of horses and other equines,Raising of
144,Raising of camels and camelids,Raising of
145,Raising of sheep and goats,Raising of
146,Raising of swine/pigs,Raising of
147,Raising of poultry,Raising of
149,Raising of other animals,Raising of
150,Mixed farming,Activities
161,Support activities for crop production,Support activities
162,Support activities for animal production,Support activities
163,Post-harvest crop activities,Activities
164,Seed processing for propagation,Activities
170,"Hunting, trapping and related service activities",Service activities
210,Silviculture and other forestry activities,Activities
220,Logging,Activities
230,Gathering of wild growing non-wood products,Gathering of
240,Support services to forestry,Support services
311,Marine fishing,Activities
312,Freshwater fishing,Activities
321,Marine aquaculture,Activities
322,Freshwater aquaculture,Activities
510,Mining of hard coal,Mining of
520,Mining of lignite,Mining of
610,Extraction of crude petroleum,Extraction of
620,Extraction of natural gas,Extraction of
710,Mining of iron ores,Mining of
721,Mining of uranium and thorium ores,Mining of
729,Mining of other non-ferrous metal ores,Mining of
811,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",Quarrying of
812,Operation of gravel and sand pits; mining of clays and kaolin,Operation of
891,Mining of chemical and fertiliser minerals,Mining of
892,Extraction of peat,Extraction of
893,Extraction of salt,Extraction of
899,Other mining and quarrying n.e.c.,Activities
910,Support activities for petroleum and natural gas extraction,Support activities
990,Support activities for other mining and quarrying,Support activities
1011,Processing and preserving of meat,Processing and preserving of
1012,Processing and preserving of poultry meat,Processing and preserving of
1013,Production of meat and poultry meat products,Production of
1020,"Processing and preserving of fish, crustaceans and molluscs",Processing and preserving of
1031,Processing and preserving of potatoes,Processing and preserving of
1032,Manufacture of fruit and vegetable juice,Manufacture of
1039,Other processing and preserving of fruit and vegetables,Processing of
1041,Manufacture of oils and fats,Manufacture of
1042,Manufacture of margarine and similar edible fats,Manufacture of
1051,Operation of dairies and cheese making,Operation of
1052,Manufacture of ice cream,Manufacture of
1061,Manufacture of grain mill products,Manufacture of
1062,Manufacture of starches and starch products,Manufacture of
1071,Manufacture of bread; manufacture of fresh pastry goods and cakes,Manufacture of
1072,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Manufacture of
1073,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",Manufacture of
1081,Manufacture of sugar,Manufacture of
1082,"Manufacture of cocoa, chocolate and sugar confectionery",Manufacture of
1083,Processing of tea and coffee,Processing of
1084,Manufacture of condiments and seasonings,Manufacture of
1085,Manufacture of prepared meals and dishes,Manufacture of
1086,Manufacture of homogenised food preparations and dietetic food,Manufacture of
1089,Manufacture of other food products n.e.c.,Manufacture of
1091,Manufacture of prepared feeds for farm animals,Manufacture of
1092,Manufacture of prepared pet foods,Manufacture of
1101,"Distilling, rectifying and blending of spirits","Distilling, rectifying and blending of"
1102,Manufacture of wine from grape,Manufacture of
1103,Manufacture of cider and other fruit wines,Manufacture of
1104,Manufacture of other non-distilled fermented beverages,Manufacture of
1105,Manufacture of beer,Manufacture of
1106,Manufacture of malt,Manufacture of
1107,Manufacture of soft drinks; production of mineral waters and other bottled waters,Manufacture of
1200,Manufacture of tobacco products,Manufacture of
1310,Preparation and spinning of textile fibres,Preparation and spinning of
1320,Weaving of textiles,Weaving of
1330,Finishing of textiles,Finishing of
1391,Manufacture of knitted and crocheted fabrics,Manufacture of
1392,"Manufacture of made-up textile articles, except apparel",Manufacture of
1393,Manufacture of carpets and rugs,Manufacture of
1394,"Manufacture of cordage, rope, twine and netting",Manufacture of
1395,"Manufacture of non-wovens and articles made from non-wovens, except apparel",Manufacture of
1396,Manufacture of other technical and industrial textiles,Manufacture of
1399,Manufacture of other textiles n.e.c.,Manufacture of
1411,Manufacture of leather clothes,Manufacture of
1412,Manufacture of workwear,Manufacture of
1413,Manufacture of other outerwear,Manufacture of
1414,Manufacture of underwear,Manufacture of
1419,Manufacture of other wearing apparel and accessories,Manufacture of
1420,Manufacture of articles of fur,Manufacture of
1431,Manufacture of knitted and crocheted hosiery,Manufacture of
1439,Manufacture of other knitted and crocheted apparel,Manufacture of
1511,Tanning and dressing of leather; dressing and dyeing of fur,Tanning and dressing; dressing and dyeing
1512,"Manufacture of luggage, handbags and the like, saddlery and harness",Manufacture of
1520,Manufacture of footwear,Manufacture of
1610,Sawmilling and planing of wood,Sawmilling and planing
1621,Manufacture of veneer sheets and wood-based panels,Manufacture of
1622,Manufacture of assembled parquet floors,Manufacture of
1623,Manufacture of other builders' carpentry and joinery,Manufacture of
1624,Manufacture of wooden containers,Manufacture of
1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",Manufacture of
1711,Manufacture of pulp,Manufacture of
1712,Manufacture of paper and paperboard,Manufacture of
1721,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,Manufacture of
1722,Manufacture of household and sanitary goods and of toilet requisites,Manufacture of
1723,Manufacture of paper stationery,Manufacture of
1724,Manufacture of wallpaper,Manufacture of
1729,Manufacture of other articles of paper and paperboard,Manufacture of
1811,Printing of newspapers,Printing of
1812,Other printing,Activities
1813,Pre-press and pre-media services,Services
1814,Binding and related services,Services
1820,Reproduction of recorded media,Reproduction of
1910,Manufacture of coke oven products,Manufacture of
1920,Manufacture of refined petroleum products,Manufacture of
2011,Manufacture of industrial gases,Manufacture of
2012,Manufacture of dyes and pigments,Manufacture of
