sic4,description,activity,product,product_group
0111,"Growing of cereals (except rice), leguminous crops and oil seeds",Growing of,cereals,20
0112,Growing of rice,Growing of,rice,20
0113,"Growing of vegetables and melons, roots and tubers",Growing of,"vegetables and melons, roots and tubers",65
0114,Growing of sugar cane,Growing of,sugar cane,46
0115,Growing of tobacco,Growing of,tobacco,24
0116,Growing of fibre crops,Growing of,fibre crops,60
0119,Growing of other non-perennial crops,Growing of,nonperennial crops,20
0121,Growing of grapes,Growing of,grapes,38
0122,Growing of tropical and subtropical fruits,Growing of,tropical and subtropical fruits,38
0123,Growing of citrus fruits,Growing of,citrus fruits,38
0124,Growing of pome fruits and stone fruits,Growing of,pome fruits and stone fruits,34
0125,Growing of other tree and bush fruits and nuts,Growing of,tree and bush fruits and nuts,38
0126,Growing of oleaginous fruits,Growing of,oleaginous fruits,38
0127,Growing of beverage crops,Growing of,beverage crops,67
0128,"Growing of spices, aromatic, drug and pharmaceutical crops",Growing of,"spices, aromatic, drug and pharmaceutical crops",64
0129,Growing of other perennial crops,Growing of,perennial crops,65
0130,Plant propagation,Activities,plant propagation,20
0141,Raising of dairy cattle,Raising of,dairy cattle,0
0142,Raising of other cattle and buffaloes,Raising of,cattle and buffaloes,0
0143,Raising of horses and other equines,Raising of,horses and  equines,14
0144,Raising of camels and camelids,Raising of,camels and camelids,0
0145,Raising of sheep and goats,Raising of,sheep and goats,0
0146,Raising of swine/pigs,Raising of,swine pigs,12
0147,Raising of poultry,Raising of,poultry,30
0149,Raising of other animals,Raising of,animals,12
0150,Mixed farming,Activities,mixed farming,20
0161,Support activities for crop production,Support activities,for crop production,20
0162,Support activities for animal production,Support activities,for animal production,12
0163,Post-harvest crop activities,Activities,postharvest crop,20
0164,Seed processing for propagation,Activities,seed processing for propagation,20
0170,"Hunting, trapping and related service activities",Service activities,"hunting, trapping and related",11
0210,Silviculture and other forestry activities,Activities,silviculture and  forestry,21
0220,Logging,Activities,logging,21
0230,Gathering of wild growing non-wood products,Gathering of,wild growing nonwood products,20
0240,Support services to forestry,Support services,to forestry,21
0311,Marine fishing,Activities,marine fishing,23
0312,Freshwater fishing,Activities,freshwater fishing,23
0321,Marine aquaculture,Activities,marine aquaculture,23
0322,Freshwater aquaculture,Activities,freshwater aquaculture,23
0510,Mining of hard coal,Mining of,hard coal,10
0520,Mining of lignite,Mining of,lignite,34
0610,Extraction of crude petroleum,Extraction of,crude petroleum,10
0620,Extraction of natural gas,Extraction of,natural gas,10
0710,Mining of iron ores,Mining of,iron ores,3
0721,Mining of uranium and thorium ores,Mining of,uranium and thorium ores,3
0729,Mining of other non-ferrous metal ores,Mining of,nonferrous metal ores,66
0811,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",Quarrying of,"ornamental and building stone, limestone, gypsum, chalk and slate",34
0812,Operation of gravel and sand pits; mining of clays and kaolin,Operation of,gravel and sand pits; mining of clays and kaolin,34
0891,Mining of chemical and fertiliser minerals,Mining of,chemical and fertiliser minerals,17
0892,Extraction of peat,Extraction of,peat,18
0893,Extraction of salt,Extraction of,salt,34
0899,Other mining and quarrying n.e.c.,Activities,mining and quarrying,42
0910,Support activities for petroleum and natural gas extraction,Support activities,for petroleum and natural gas extraction,10
0990,Support activities for other mining and quarrying,Support activities,for  mining and quarrying,42
1011,Processing and preserving of meat,Processing and preserving of,meat,30
1012,Processing and preserving of poultry meat,Processing and preserving of,poultry meat,30
1013,Production of meat and poultry meat products,Production of,meat and poultry meat products,30
1020,"Processing and preserving of fish, crustaceans and molluscs",Processing and preserving of,"fish, crustaceans and molluscs",23
1031,Processing and preserving of potatoes,Processing and preserving of,potatoes,18
1032,Manufacture of fruit and vegetable juice,Manufacture of,fruit and vegetable juice,38
1039,Other processing and preserving of fruit and vegetables,Processing of,processing and preserving of fruit and vegetables,65
